Designator,Footprint,Quantity,Value,LCSC Part #
"_3, _2, ",,3,,
A1,Pololu_A4988,1,A4988/TMC2209,
"C1, C2",0805,2,4.7u,
"C3, C4, C5, C8",0805,4,100n,
"C6, C9",0805,2,10u,
C7,0805,1,100u,
D1,1206,1,MANUAL,
D2,1206,1,AUTO,
D3,1206,1,PWR IND,
J1,PinSocket_2x04_P2.54mm_Vertical,1,NRF24L01,
J10,PinHeader_2x02_P2.54mm_Vertical,1,Conn_02x02_Odd_Even,
J2,PinSocket_1x10_P2.54mm_Vertical,1,Conn_01x10_Female,
J3,PinSocket_1x14_P2.54mm_Vertical,1,Conn_01x14_Female,
J5,BarrelJack_Horizontal,1,Barrel_Jack_MountingPin,
J6,PinHeader_1x03_P2.54mm_Vertical,1,MS1,
J7,PinHeader_1x03_P2.54mm_Vertical,1,MS2,
J8,PinHeader_1x03_P2.54mm_Vertical,1,MS3,
J9,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,STEPPER,
"R1, R2, R3",0805,3,220R,
S1,SW_100SP1T1B4M2QE,1,SW_SPDT,
U1,MODULE_DEV-15583,1,Teensy4.0,
U2,SOT-223-3_TabPin2,1,LD1117S50TR_SOT223,
U3,SOT-223-3_TabPin2,1,LD1117S33TR_SOT223,
