Designator,Mid X,Mid Y,Rotation,Layer
C1,129.54,-106.426,270.0,top
C2,145.542,-113.284,0.0,top
C3,155.956,-106.172,90.0,top
C4,153.416,-110.744,270.0,top
C5,132.08,-106.4475,270.0,top
C6,153.416,-106.172,90.0,top
D1,161.544,-110.744,180.0,top
D2,161.544,-114.808,180.0,top
J1,120.65,-147.32,270.0,top
J2,115.545,-128.24,180.0,top
J3,138.405,-138.42,180.0,top
R1,166.624,-110.744,0.0,top
R2,166.624,-114.808,0.0,top
S1,140.97,-146.05,270.0,top
U1,93.98,-132.08,270.0,top
U2,127.0,-121.92,0.0,top
U3,147.61,-108.45,0.0,top
U4,158.75,-132.08,90.0,top
